epoch,training_loss,validation_loss
1,0.02967263076828197,0.006779460365499329
1,0.029163582332837744,0.0050472500234204545
2,0.01867671956887887,0.003685157892228428
3,0.016801801802064642,0.00249425798614064
4,0.016902165060710846,0.00203789686170437
5,0.01513550806177628,0.0017424864164912951
6,0.015909699179853003,0.0015280398023922157
7,0.01463922823844224,0.0013965266942092137
8,0.014549586146936884,0.0012678917688469444
9,0.013946456238659111,0.00115742751301656
10,0.01328708058964385,0.0011982128083257956
11,0.01313527635117315,0.0009750555594940164
12,0.012680770522957591,0.0009112162653131552
13,0.012036497831395288,0.000840996826097936
14,0.01230236619364844,0.0007826615156259124
15,0.011254900677817032,0.0006932187951188889
16,0.0118721979396215,0.0006910525684677692
17,0.010669373524997725,0.000608712675666143
18,0.01043269536778692,0.0005909942408280862
19,0.009583933561482802,0.0005532195750477157
20,0.009815129130084043,0.0005631614614843704
21,0.00988750871727053,0.0005341174305415378
22,0.009402300446012318,0.0005074149678915527
23,0.009458550283519811,0.00045451314390052374
24,0.008460735287881603,0.00042086789629968774
25,0.008618806206722599,0.0004382499651989707
26,0.008899574152900375,0.00042754793060379126
27,0.007727130269592147,0.00037915500315252956
28,0.00849316095546059,0.0004366979481584048
29,0.007224141891438318,0.0003669864912333888
30,0.007513496470514869,0.0003530909032080039
1,0.02850650303369882,0.005081292808703754
2,0.01920955464509981,0.0036227221381799927
3,0.017509172538922604,0.002628826278732563
4,0.01609148424495721,0.0020028511755062145
5,0.01664342942780682,0.0017557317838983854
6,0.015505076048430055,0.001564374384780303
7,0.014813555914316276,0.001415356595237466
8,0.01435218910911583,0.001315612367287268
9,0.014107528920950635,0.0011609818899634538
10,0.014608350810262242,0.0010593594529579961
11,0.013231093845121106,0.0009756771937447965
12,0.012822792731893889,0.0009037555149837357
13,0.012516069768367296,0.000866095652346975
14,0.012214478116552187,0.0008367257742856568
15,0.01117890378528395,0.000741934638189496
16,0.01155282811940407,0.0006709293515798535
17,0.01058604177402342,0.0006292357314953773
18,0.010419213784154549,0.0007793756077539317
19,0.01010666485807738,0.0007306860026564327
20,0.009877575052344576,0.0005437135947906189
21,0.008890698386552636,0.0005020834567245481
22,0.00976009955124844,0.000552122932355775
23,0.008968324704926468,0.00045731423360057704
24,0.009263613835023875,0.0004358022406845323
25,0.009075816877548215,0.0004292218576586532
26,0.008467356621827868,0.00043763967661779253
27,0.008664018351867395,0.0004938444029824535
28,0.007910506100058048,0.0003945434802280152
29,0.008487450141819244,0.0005499864224554545
30,0.008087874345677797,0.0005467752348720197
1,0.029128683086636725,0.005195458395578696
2,0.018414085912423172,0.003256619539688868
3,0.01683820923853691,0.0024820199937296466
4,0.016485409374621247,0.002132079691206024
5,0.014941306347993588,0.0017694646986732866
6,0.014813848447171832,0.001564082399494035
7,0.01440919185560957,0.001460629190937059
8,0.014217579907652142,0.0013100954296849363
9,0.014012591685897031,0.0012976339018243143
10,0.0141391122231393,0.001088122544150911
11,0.013241006181413802,0.001026704913269698
12,0.012345949272454089,0.0009115027033144345
13,0.01160281853390807,0.0008411789877636297
14,0.012002966732347423,0.000853911285483501
15,0.011241881823686718,0.0007322782042572964
16,0.011236545548506626,0.0006842244983209125
17,0.010887048301820764,0.0006815649792216667
18,0.01056958015079192,0.0007552833460225804
19,0.010532003054181494,0.0006164785409846049
20,0.009561808998391609,0.00063917937475945
21,0.009490923844966847,0.0005305796251417158
22,0.008864515149002883,0.0005118332857977214
23,0.009340519956780318,0.00047535526170142236
24,0.009360079698285981,0.0005173228788486955
25,0.008668107742924388,0.00044621829511015676
26,0.008316173844022017,0.00042140470458948783
27,0.008311643733482232,0.00039970566214596266
28,0.007912363217776122,0.00039032015687869557
29,0.007969617549362465,0.00039020866160685927
30,0.008377280116352874,0.00037991733718271183
