epoch,training_loss,validation_loss,mean_IoU,accuracy,dice
31,0.5150967280604224,0.4795462863276834,0.61175,0.80936,0.75063
32,0.5248729014747641,0.4645099545950475,0.61927,0.81578,0.75659
33,0.5199742638401388,0.4473739557535104,0.6479,0.8346,0.77954
34,0.525644843,0.4503111664367759,0.67643,0.85459,0.80133
35,0.5219569161757471,0.4420933936236669,0.65858,0.84182,0.78786
36,0.5172620019625043,0.45618672766115353,0.64826,0.84202,0.77855
37,0.5234597905344343,0.45966490991818515,0.62692,0.81635,0.7637
38,0.5175712318891892,0.4468251203348779,0.65529,0.84031,0.78523
39,0.5218567598720162,0.44626148571462737,0.67011,0.85027,0.79659
40,0.5100453504195742,0.45499775712580787,0.64912,0.83301,0.78095
41,0.5136582413555165,0.44310391427058243,0.65502,0.84467,0.78415
42,0.5201999179821098,0.48761402841900353,0.6002,0.80606,0.73988
43,0.5109016177319928,0.450729341,0.65537,0.84621,0.78426
44,0.4981111307952419,0.4459244646536915,0.67008,0.851,0.79645
45,0.520633617,0.4509010941154607,0.6365,0.82446,0.77109
46,0.5153451365798488,0.44314080187241023,0.64672,0.83271,0.7788
47,0.5192438441882172,0.47230689468510123,0.60844,0.80726,0.74761
48,0.5204858640735047,0.48314724811960175,0.6307,0.83754,0.76351
49,0.5108970998348307,0.4769650157743498,0.61317,0.81709,0.75039
50,0.5071827435093805,0.4486626102184148,0.64799,0.83149,0.77998
51,0.5127718024123193,0.45558426312535355,0.63288,0.82995,0.76646
52,0.5070989656156224,0.4447653995340933,0.67158,0.85295,0.79745
53,0.5062174446287409,0.4832106309780932,0.59859,0.79464,0.74105
54,0.499416122,0.46372200257104373,0.67565,0.85663,0.8004
55,0.5047740078929982,0.4373298563144129,0.65336,0.83701,0.78407
56,0.50464369,0.4461598737448778,0.66741,0.84529,0.79518
57,0.5050859584177003,0.45244977750774956,0.62875,0.81591,0.76562
58,0.505091794,0.4673881316759988,0.62592,0.82361,0.76136
59,0.5058686768596801,0.44966749140344886,0.63089,0.82146,0.76637
60,0.5128476219042537,0.445329816,0.67988,0.85884,0.80356
61,0.5115886631011557,0.5007951916600375,0.58361,0.78572,0.72782
62,0.5085641116238598,0.44559354606367974,0.63926,0.83196,0.77199
63,0.5129367394298011,0.4607831110327464,0.61871,0.8166,0.75557
64,0.5015908200686849,0.4552784132892671,0.62451,0.81458,0.76184
65,0.5068452345667606,0.5386723234601642,0.55492,0.7647,0.70212
66,0.5079507426421523,0.47886336341743235,0.60377,0.80532,0.7436
67,0.5092666102376741,0.4930628851744468,0.59726,0.80514,0.73698
