epoch,training_loss,validation_loss,mean_IoU,accuracy,dice
32,0.5219640993139371,0.4799390825564447,0.61177,0.81443,0.7494
33,0.5187378213316405,0.4623960984627838,0.62799,0.82269,0.76341
34,0.5138831960100706,0.5611681673351837,0.55035,0.77509,0.69476
35,0.5114640475333142,0.5077965854788604,0.57811,0.77879,0.72393
36,0.5107609691465793,0.5359022780119077,0.5622,0.77072,0.70852
37,0.5101706082723578,0.46471072012639564,0.62817,0.824,0.76316
38,0.5166865714755999,0.4516727199535007,0.64028,0.83117,0.77315
39,0.505060409830541,0.45176620084954344,0.64629,0.8369,0.7776
40,0.5189518118796705,0.45972139226353687,0.63151,0.81961,0.76758
41,0.5159881756013753,0.45562217020146223,0.63715,0.82415,0.77178
42,0.5092826442856367,0.46110665660513483,0.63026,0.81771,0.76651
43,0.5146189733427398,0.45009861473479995,0.65186,0.84061,0.78206
44,0.5177399687012848,0.4757443036398162,0.61218,0.81075,0.75054
45,0.5114334413186222,0.45846902376607707,0.64281,0.83628,0.77453
46,0.5020865388873483,0.45108894501691277,0.64145,0.83084,0.77422
47,0.5082126578911632,0.45749038676528825,0.63606,0.82384,0.77083
48,0.5054742495421649,0.4609126182192046,0.63561,0.82991,0.76913
49,0.5013690315947241,0.46131181425374485,0.63489,0.83131,0.76816
50,0.5090196831493962,0.4670078673440477,0.62371,0.81826,0.76027
51,0.5200284273243275,0.4565356355160475,0.64287,0.82653,0.77675
52,0.5093438059091568,0.514871088463975,0.58564,0.80401,0.72542
53,0.5034023708632204,0.4651574199290379,0.62214,0.81739,0.75891
54,0.5014551387352197,0.46059890957954136,0.62959,0.82361,0.76467
55,0.5082417458093085,0.4480853234620198,0.66766,0.85075,0.79432
56,0.5060197145963202,0.45356470127792464,0.63599,0.82407,0.77057
57,0.5115282844726731,0.46324677911141643,0.61983,0.81538,0.75699
58,0.5171934045901915,0.4703125124392302,0.6195,0.82055,0.75567
59,0.50936594518269,0.4731204244915558,0.62043,0.8224,0.75624
60,0.5097018637219254,0.4531710766579794,0.63275,0.82294,0.76778
